param_n_neighbors,param_metric,param_leaf_size,mean_test_score,std_test_score,rank_test_score
7,manhattan,20,0.731025,0.0031010582871013707,1
7,manhattan,30,0.731025,0.0031010582871013707,1
7,manhattan,40,0.731025,0.0031010582871013707,1
5,manhattan,20,0.7308749999999999,0.0020217566619155874,4
5,manhattan,30,0.7308749999999999,0.0020217566619155874,4
5,manhattan,40,0.7308749999999999,0.0020217566619155874,4
3,manhattan,20,0.7272000000000001,0.0015244876188411649,7
3,manhattan,30,0.7272000000000001,0.0015244876188411649,7
3,manhattan,40,0.7272000000000001,0.0015244876188411649,7
5,euclidean,40,0.7171375,0.0025712958795128978,10
5,minkowski,30,0.7171375,0.0025712958795128978,10
5,euclidean,20,0.7171375,0.0025712958795128978,10
5,euclidean,30,0.7171375,0.0025712958795128978,10
5,minkowski,20,0.7171375,0.0025712958795128978,10
5,minkowski,40,0.7171375,0.0025712958795128978,10
7,euclidean,20,0.7169874999999999,0.0021554436898234973,16
7,euclidean,40,0.7169874999999999,0.0021554436898234973,16
7,minkowski,30,0.7169874999999999,0.0021554436898234973,16
7,minkowski,20,0.7169874999999999,0.0021554436898234973,16
7,euclidean,30,0.7169874999999999,0.0021554436898234973,16
7,minkowski,40,0.7169874999999999,0.0021554436898234973,16
1,manhattan,40,0.7139374999999999,0.003443063679341417,22
1,manhattan,20,0.7139374999999999,0.003443063679341417,22
1,manhattan,30,0.7139374999999999,0.003443063679341417,22
3,euclidean,40,0.711125,0.002606482303795676,25
3,minkowski,30,0.711125,0.002606482303795676,25
3,minkowski,20,0.711125,0.002606482303795676,25
3,euclidean,30,0.711125,0.002606482303795676,25
3,euclidean,20,0.711125,0.002606482303795676,25
3,minkowski,40,0.711125,0.002606482303795676,25
1,euclidean,30,0.6965875,0.0031035765658349855,31
1,euclidean,20,0.6965875,0.0031035765658349855,31
1,euclidean,40,0.6965875,0.0031035765658349855,31
1,minkowski,30,0.6965875,0.0031035765658349855,31
1,minkowski,20,0.6965875,0.0031035765658349855,31
1,minkowski,40,0.6965875,0.0031035765658349855,31
