param_n_neighbors,param_metric,param_leaf_size,mean_test_score,std_test_score,rank_test_score
1,manhattan,20,0.6029625,0.002845116429955032,1
1,manhattan,30,0.6029625,0.002845116429955032,1
1,manhattan,40,0.6029625,0.002845116429955032,1
1,euclidean,20,0.5939124999999998,0.004002460180938723,4
1,minkowski,30,0.5939124999999998,0.004002460180938723,4
1,euclidean,40,0.5939124999999998,0.004002460180938723,4
1,euclidean,30,0.5939124999999998,0.004002460180938723,4
1,minkowski,20,0.5939124999999998,0.004002460180938723,4
1,minkowski,40,0.5939124999999998,0.004002460180938723,4
7,manhattan,20,0.59055,0.004727975253742362,10
7,manhattan,40,0.59055,0.004727975253742362,10
7,manhattan,30,0.59055,0.004727975253742362,10
5,manhattan,30,0.5901500000000001,0.003336961567054656,13
5,manhattan,20,0.5901500000000001,0.003336961567054656,13
5,manhattan,40,0.5901500000000001,0.003336961567054656,13
3,manhattan,20,0.58795,0.0032428768092543922,16
3,manhattan,30,0.58795,0.0032428768092543922,16
3,manhattan,40,0.58795,0.0032428768092543922,16
5,minkowski,30,0.5842750000000001,0.003173277091588422,19
5,euclidean,20,0.5842750000000001,0.003173277091588422,19
5,minkowski,20,0.5842750000000001,0.003173277091588422,19
5,euclidean,30,0.5842750000000001,0.003173277091588422,19
5,minkowski,40,0.5842750000000001,0.003173277091588422,19
5,euclidean,40,0.5842750000000001,0.003173277091588422,19
7,euclidean,40,0.5841749999999999,0.0037406967933795525,25
7,minkowski,30,0.5841749999999999,0.0037406967933795525,25
7,minkowski,20,0.5841749999999999,0.0037406967933795525,25
7,euclidean,30,0.5841749999999999,0.0037406967933795525,25
7,euclidean,20,0.5841749999999999,0.0037406967933795525,25
7,minkowski,40,0.5841749999999999,0.0037406967933795525,25
3,euclidean,30,0.581675,0.004096377973283207,31
3,euclidean,20,0.581675,0.004096377973283207,31
3,euclidean,40,0.581675,0.004096377973283207,31
3,minkowski,30,0.581675,0.004096377973283207,31
3,minkowski,20,0.581675,0.004096377973283207,31
3,minkowski,40,0.581675,0.004096377973283207,31
