param_activation,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score
tanh,"(32, 32)",0.0001,0.74925,0.0022465250944514324,1
relu,"(64, 32)",0.005,0.7491875,0.002050152433357117,2
tanh,"(32, 32)",0.001,0.74915,0.002054568081130439,3
tanh,"(64, 32)",0.001,0.7485875,0.0035524199498370343,4
tanh,"(64, 32)",0.0001,0.7481375,0.003831285684988802,5
tanh,"(75, 50)",0.001,0.747725,0.00469850375119572,6
tanh,"(32, 32)",0.005,0.747325,0.0011781871667948473,7
tanh,"(64, 32)",0.005,0.7472,0.004565735154386387,8
relu,"(64, 32)",0.0001,0.7466125,0.0021133504205407974,9
tanh,"(75, 50)",0.005,0.7465999999999999,0.004407309269838003,10
tanh,"(75, 50)",0.0001,0.7462375,0.0043101261582464126,11
relu,"(64, 32)",0.001,0.7460625000000001,0.0022026262733382696,12
tanh,"(48, 16)",0.001,0.7460125,0.003007906248539031,13
tanh,"(48, 16)",0.0001,0.7456375,0.0028171905331375864,14
relu,"(32, 32)",0.001,0.7455624999999999,0.0031154855159348507,15
tanh,"(48, 16)",0.005,0.745525,0.003597872635322155,16
relu,"(75, 50)",0.001,0.7452624999999999,0.00598414572015086,17
relu,"(75, 50)",0.0001,0.7452249999999999,0.006095669569456672,18
relu,"(32, 32)",0.005,0.7449125000000001,0.004980053965571048,19
relu,"(32, 32)",0.0001,0.744,0.0033372893191930537,20
relu,"(48, 16)",0.001,0.7437374999999999,0.0018542181640788633,21
relu,"(75, 50)",0.005,0.7435375000000001,0.008122845868290245,22
relu,"(48, 16)",0.005,0.7434875,0.0016664895739247902,23
relu,"(48, 16)",0.0001,0.7429374999999999,0.0025623475564411505,24
