param_activation,param_hidden_layer_sizes,param_alpha,mean_test_score,std_test_score,rank_test_score
tanh,"(75, 50)",0.005,0.5964875000000001,0.0034139877709212533,1
tanh,"(75, 50)",0.0001,0.59585,0.0031368774282716336,2
tanh,"(75, 50)",0.001,0.59535,0.004007921843050358,3
relu,"(75, 50)",0.001,0.5932625,0.003260895199174595,4
relu,"(75, 50)",0.0001,0.5928,0.005060014822112689,5
relu,"(75, 50)",0.005,0.5916625,0.0037828973684201463,6
tanh,"(64, 32)",0.005,0.5909,0.002783208580038523,7
tanh,"(64, 32)",0.001,0.5902499999999999,0.0036544065865746307,8
tanh,"(64, 32)",0.0001,0.5892125,0.0037008444982192627,9
relu,"(64, 32)",0.0001,0.5857875,0.0027023138233743405,10
relu,"(64, 32)",0.001,0.5855374999999999,0.001247246968326626,11
relu,"(64, 32)",0.005,0.5839375,0.0024383011503914067,12
tanh,"(32, 32)",0.005,0.5795125000000001,0.0015111047283361857,13
tanh,"(32, 32)",0.0001,0.57775,0.0021447610589527344,14
tanh,"(32, 32)",0.001,0.5776125000000001,0.0015054069217324427,15
tanh,"(48, 16)",0.001,0.5741375,0.004215188311333197,16
tanh,"(48, 16)",0.0001,0.5736125,0.0036132135973396522,17
tanh,"(48, 16)",0.005,0.573275,0.002830249547301431,18
relu,"(32, 32)",0.0001,0.5727375,0.0030637497450020468,19
relu,"(32, 32)",0.005,0.5717375,0.003506110736984766,20
relu,"(48, 16)",0.001,0.5714375,0.0029408225890046593,21
relu,"(32, 32)",0.001,0.570825,0.0030795190371225236,22
relu,"(48, 16)",0.0001,0.5707625000000001,0.0033947109597136705,23
relu,"(48, 16)",0.005,0.5702999999999999,0.0037168114695260044,24
