param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
100,,1,2,0.7526324503311258,0.0009078072889903889,1
100,,1,6,0.7515811258278146,0.0012680433204547417,2
50,,1,2,0.7507698675496688,0.0008517242461517934,3
50,,1,6,0.749635761589404,0.0007806954140962034,4
100,,1,10,0.7455380794701987,0.001637818102916054,5
50,,1,10,0.7445198675496689,0.0013739228210671878,6
100,,5,2,0.7353890728476821,0.0014152966327141882,7
100,,5,6,0.7353890728476821,0.0014152966327141882,7
100,,5,10,0.7353890728476821,0.0014152966327141882,7
50,,5,10,0.7336423841059603,0.0018870541070488,10
50,,5,2,0.7336423841059603,0.0018870541070488,10
50,,5,6,0.7336423841059603,0.0018870541070488,10
100,,10,10,0.7152152317880793,0.0017189066720918714,13
100,,10,2,0.7152152317880793,0.0017189066720918714,13
100,,10,6,0.7152152317880793,0.0017189066720918714,13
50,,10,2,0.7147185430463576,0.002159088941787729,16
50,,10,10,0.7147185430463576,0.002159088941787729,16
50,,10,6,0.7147185430463576,0.002159088941787729,16
100,10,1,6,0.6091307947019867,0.0034930047508381075,19
100,10,1,10,0.6083774834437086,0.0028339322289755763,20
50,10,1,2,0.6083443708609272,0.0028604078048356098,21
50,10,1,10,0.6079056291390729,0.0026396772804466,22
50,10,5,2,0.6078973509933775,0.0028492218230859213,23
100,10,5,2,0.6078973509933775,0.002905900347713391,23
100,10,5,10,0.6078973509933775,0.002905900347713391,23
50,10,5,10,0.6078973509933775,0.0028492218230859213,23
50,10,5,6,0.6078973509933775,0.0028492218230859213,23
100,10,5,6,0.6078973509933775,0.002905900347713391,23
50,10,1,6,0.6078062913907285,0.0032014705063331253,29
100,10,1,2,0.6077152317880795,0.003814114642440556,30
50,10,10,2,0.6075,0.00257188011842262,31
50,10,10,10,0.6075,0.00257188011842262,31
50,10,10,6,0.6075,0.00257188011842262,31
100,10,10,10,0.606953642384106,0.0036076952934620057,34
100,10,10,2,0.606953642384106,0.0036076952934620057,34
100,10,10,6,0.606953642384106,0.0036076952934620057,34
100,5,5,6,0.5646274834437086,0.004371738824138055,37
100,5,5,2,0.5646274834437086,0.004371738824138055,37
100,5,5,10,0.5646274834437086,0.004371738824138055,37
100,5,1,10,0.5643377483443708,0.004028370590619452,40
100,5,1,2,0.5641225165562914,0.0035892611650191254,41
100,5,1,6,0.563816225165563,0.0036972278348187527,42
50,5,5,2,0.5635596026490066,0.005349027469013448,43
50,5,5,6,0.5635596026490066,0.005349027469013448,43
50,5,5,10,0.5635596026490066,0.005349027469013448,43
100,5,10,2,0.5635347682119206,0.003735177861886542,46
100,5,10,6,0.5635347682119206,0.003735177861886542,46
100,5,10,10,0.5635347682119206,0.003735177861886542,46
50,5,1,6,0.5631953642384107,0.0054686159777634444,49
50,5,1,10,0.5629718543046357,0.00613279315835463,50
50,5,10,6,0.5625413907284769,0.0040591623844323434,51
50,5,10,2,0.5625413907284769,0.0040591623844323434,51
50,5,10,10,0.5625413907284769,0.0040591623844323434,51
50,5,1,2,0.5624586092715231,0.00471454751248149,54
