param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
100,,1,2,0.6344,0.0038565285555794775,1
100,,1,6,0.6305625000000001,0.004415349646404015,2
50,,1,2,0.6278375,0.0033825378785757813,3
100,,1,10,0.6267125,0.00353013809928168,4
50,,1,6,0.6260625,0.005332682251925379,5
50,,1,10,0.6221500000000001,0.00333860000599053,6
100,,5,2,0.6198,0.00356160076370162,7
100,,5,6,0.6198,0.00356160076370162,7
100,,5,10,0.6198,0.00356160076370162,7
50,,5,10,0.6159375,0.004164395214193763,10
50,,5,2,0.6159375,0.004164395214193763,10
50,,5,6,0.6159375,0.004164395214193763,10
100,,10,10,0.608775,0.003289804325488066,13
100,,10,2,0.608775,0.003289804325488066,13
100,,10,6,0.608775,0.003289804325488066,13
50,,10,2,0.6063375,0.003252066650608521,16
50,,10,10,0.6063375,0.003252066650608521,16
50,,10,6,0.6063375,0.003252066650608521,16
100,10,1,2,0.5582,0.004368817059571163,19
100,10,1,6,0.557125,0.004986857728068838,20
100,10,1,10,0.5567624999999999,0.005091874654780899,21
100,10,5,6,0.5560875,0.004200929956569134,22
100,10,5,10,0.5560875,0.004200929956569134,22
100,10,5,2,0.5560875,0.004200929956569134,22
50,10,1,6,0.55585,0.005863232896619414,25
50,10,1,2,0.5558375000000001,0.004715764784210507,26
50,10,1,10,0.5550875,0.004351472451940822,27
100,10,10,2,0.5546625,0.0032798151624748736,28
100,10,10,6,0.5546625,0.0032798151624748736,28
100,10,10,10,0.5546625,0.0032798151624748736,28
50,10,10,2,0.5546375000000001,0.003720593030687432,31
50,10,10,10,0.5546375000000001,0.003720593030687432,31
50,10,10,6,0.5546375000000001,0.003720593030687432,31
50,10,5,2,0.5543125,0.004750986739615261,34
50,10,5,6,0.5543125,0.004750986739615261,34
50,10,5,10,0.5543125,0.004750986739615261,34
100,5,10,6,0.4684125,0.0050874539309953525,37
100,5,10,2,0.4684125,0.0050874539309953525,37
100,5,10,10,0.4684125,0.0050874539309953525,37
50,5,10,2,0.4680375,0.005459595909955237,40
50,5,10,10,0.4680375,0.005459595909955237,40
50,5,10,6,0.4680375,0.005459595909955237,40
100,5,1,10,0.46763749999999993,0.004131131806176124,43
50,5,1,10,0.46762499999999996,0.004893714080327943,44
100,5,5,2,0.46715,0.003859161178287333,45
100,5,5,10,0.46715,0.003859161178287333,45
100,5,5,6,0.46715,0.003859161178287333,45
50,5,1,6,0.466775,0.004998843616277663,48
50,5,5,10,0.46671250000000003,0.004144197751073174,49
50,5,5,2,0.46671250000000003,0.004144197751073174,49
50,5,5,6,0.46671250000000003,0.004144197751073174,49
100,5,1,6,0.4664,0.004406245567373663,52
50,5,1,2,0.466275,0.004929122639983721,53
100,5,1,2,0.46586249999999996,0.0041222339210675515,54
