param_n_estimators,param_max_depth,param_min_samples_leaf,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
100,,1,2,0.73695,0.006912669527758439,1
100,,1,10,0.7337,0.0085314125442391,2
50,,1,2,0.7333999999999999,0.006489607075933029,3
100,,1,6,0.7333,0.007525622897807204,4
100,,5,10,0.7318,0.007885746635544425,5
100,,5,2,0.7318,0.007885746635544425,5
100,,5,6,0.7318,0.007885746635544425,5
50,,1,10,0.7316499999999999,0.008300000000000014,8
50,,1,6,0.7304999999999999,0.009140568910084317,9
50,,5,10,0.72965,0.007346087393980573,10
50,,5,2,0.72965,0.007346087393980573,10
50,,5,6,0.72965,0.007346087393980573,10
50,,10,10,0.7292500000000001,0.007534918712235704,13
50,,10,2,0.7292500000000001,0.007534918712235704,13
50,,10,6,0.7292500000000001,0.007534918712235704,13
100,,10,2,0.72835,0.009130443581776298,16
100,,10,10,0.72835,0.009130443581776298,16
100,,10,6,0.72835,0.009130443581776298,16
100,10,1,6,0.7252500000000001,0.006027022482121662,19
100,10,1,2,0.7238,0.005842516581063344,20
50,10,1,6,0.7232999999999998,0.006293647591023814,21
50,10,5,6,0.7228000000000001,0.005457563558951919,22
50,10,5,10,0.7228000000000001,0.005457563558951919,22
50,10,5,2,0.7228000000000001,0.005457563558951919,22
100,10,5,10,0.7228,0.006446704584514444,25
100,10,5,2,0.7228,0.006446704584514444,25
100,10,5,6,0.7228,0.006446704584514444,25
50,10,1,2,0.72265,0.00676128685976272,28
100,10,1,10,0.7225499999999999,0.006692159591641535,29
50,10,1,10,0.72245,0.00639022691302896,30
100,10,10,2,0.7217500000000001,0.007214568594171107,31
100,10,10,10,0.7217500000000001,0.007214568594171107,31
100,10,10,6,0.7217500000000001,0.007214568594171107,31
50,10,10,10,0.72035,0.005330572201931034,34
50,10,10,2,0.72035,0.005330572201931034,34
50,10,10,6,0.72035,0.005330572201931034,34
50,5,1,10,0.69535,0.007184358008896833,37
100,5,10,6,0.6952,0.008401487963450305,38
100,5,10,2,0.6952,0.008401487963450305,38
100,5,10,10,0.6952,0.008401487963450305,38
100,5,1,10,0.6949000000000001,0.007852706539786158,41
50,5,10,2,0.69485,0.007859071191941186,42
50,5,10,10,0.69485,0.007859071191941186,42
50,5,10,6,0.69485,0.007859071191941186,42
100,5,5,2,0.6944000000000001,0.007038465741907101,45
100,5,5,10,0.6944000000000001,0.007038465741907101,45
100,5,5,6,0.6944000000000001,0.007038465741907101,45
50,5,5,6,0.6943500000000001,0.007534255105848242,48
50,5,5,10,0.6943500000000001,0.007534255105848242,48
50,5,5,2,0.6943500000000001,0.007534255105848242,48
100,5,1,2,0.69425,0.007454864183873511,51
50,5,1,2,0.6938500000000001,0.006537583651472466,52
100,5,1,6,0.6938500000000001,0.0074138384120508004,52
50,5,1,6,0.69365,0.007239820439762308,54
