param_max_depth,param_learning_rate,param_n_estimators,param_colsample_bytree,mean_test_score,std_test_score,rank_test_score
10,0.1,1000,0.7,0.64185,0.004095843930132094,1
10,0.05,1000,0.7,0.6402500000000001,0.004260098296987986,2
10,0.1,500,0.7,0.6389625000000001,0.0031512894186348657,3
10,0.05,500,0.7,0.6351625000000001,0.003110868046060456,4
6,0.1,1000,0.7,0.6299125,0.004274671039974881,5
10,0.01,1000,0.7,0.6257250000000001,0.003278862226443826,6
10,0.1,1000,0.3,0.6247,0.0030566014624088724,7
10,0.05,1000,0.3,0.6234999999999999,0.0037414485831025247,8
6,0.05,1000,0.7,0.6230375,0.00350615530175148,9
10,0.1,100,0.7,0.622375,0.0036697666819567702,10
6,0.1,500,0.7,0.621975,0.0039874020364141834,11
10,0.1,500,0.3,0.62115,0.0029624208850195593,12
10,0.05,500,0.3,0.6177875,0.003457012800091984,13
6,0.1,1000,0.3,0.6168750000000001,0.003351072589485337,14
10,0.01,500,0.7,0.6158625000000001,0.0027060118255469584,15
10,0.05,100,0.7,0.6139749999999999,0.003790943154414229,16
6,0.05,500,0.7,0.6106374999999999,0.0032819106477782385,17
6,0.05,1000,0.3,0.6076875000000002,0.00307967124868874,18
6,0.1,500,0.3,0.6071375,0.003522117615866906,19
10,0.01,1000,0.3,0.6057375,0.001778078316610389,20
10,0.1,100,0.3,0.6013125,0.0033337760122719583,21
10,0.01,100,0.7,0.5957749999999999,0.003933549605636116,22
6,0.05,500,0.3,0.5954750000000001,0.0030438462510448553,23
3,0.1,1000,0.7,0.594675,0.004388977671394567,24
10,0.01,500,0.3,0.5894375000000001,0.001737904629143972,25
6,0.01,1000,0.7,0.589125,0.003926671618559427,26
6,0.1,100,0.7,0.5887125,0.004145328696255576,27
10,0.05,100,0.3,0.587225,0.002928470163754449,28
3,0.1,1000,0.3,0.5843,0.0028875811676903375,29
3,0.1,500,0.7,0.58095,0.005124451190127568,30
3,0.05,1000,0.7,0.5809375,0.0038297764295060267,31
6,0.01,1000,0.3,0.574575,0.00297631273558406,32
6,0.1,100,0.3,0.5730875,0.002710396649938895,33
3,0.05,1000,0.3,0.572375,0.002470134105671188,34
3,0.1,500,0.3,0.571775,0.0033712015662075347,35
6,0.01,500,0.7,0.5714750000000001,0.0033903816156887158,36
6,0.05,100,0.7,0.5703875,0.0038678159211627417,37
3,0.05,500,0.7,0.56525,0.0030536862969204903,38
10,0.01,100,0.3,0.55705,0.003715129540137203,39
3,0.05,500,0.3,0.5541250000000001,0.001896130929023627,40
6,0.01,500,0.3,0.55,0.0028457753776431286,41
6,0.05,100,0.3,0.5492375,0.0025694722220720597,42
3,0.01,1000,0.7,0.5359875,0.0027543715254119304,43
3,0.1,100,0.7,0.53545,0.002468995240983646,44
6,0.01,100,0.7,0.5347,0.0042137053171763,45
3,0.01,1000,0.3,0.5228499999999999,0.0026738315204963706,46
3,0.1,100,0.3,0.5216749999999999,0.00350789288604996,47
6,0.01,100,0.3,0.5100625000000001,0.003960153090475143,48
3,0.05,100,0.7,0.5081874999999999,0.002178015151462466,49
3,0.01,500,0.7,0.5079374999999999,0.002303869028395517,50
3,0.01,500,0.3,0.4982875,0.0030645656299058215,51
3,0.05,100,0.3,0.4976625,0.0029634755777633776,52
3,0.01,100,0.7,0.47162500000000007,0.0038252859370248374,53
3,0.01,100,0.3,0.4711625,0.0034994642447094665,54
